"ExperimentNumber","Trial","ChoseSugar","ChoseWater","nHits","cumulativeHitsAtTrialStart","CorrectSide","PositionSet","Euclid","dtStart","dtEnd","trialDuration","cumulativeDurationAtTrialStart","stoppingCondition","ExperimentDisplayName","experimentClass","axisID"
1,1,13,14,27,0,1,1,1.01313379376811,2017-06-13 16:24:00,2017-06-13 16:35:00,11,0,0,"Green v Red","spectral",NA
1,2,12,14,26,27,-1,1,1.01313379376811,2017-06-13 16:35:00,2017-06-13 17:01:00,26,11,0,"Green v Red","spectral",NA
1,3,15,10,25,53,1,2,1.01313379376811,2017-06-13 17:01:00,2017-06-13 17:19:00,18,37,0,"Green v Red","spectral",NA
1,4,17,8,25,78,-1,2,1.01313379376811,2017-06-13 17:19:00,2017-06-13 17:40:00,21,55,0,"Green v Red","spectral",NA
1,5,16,9,25,103,1,3,1.01313379376811,2017-06-13 17:40:00,2017-06-13 17:55:00,15,76,0,"Green v Red","spectral",NA
1,6,13,12,25,128,-1,3,1.01313379376811,2017-06-13 17:55:00,2017-06-13 18:28:00,33,91,0,"Green v Red","spectral",NA
1,7,17,8,25,153,1,4,1.01313379376811,2017-06-13 18:28:00,2017-06-13 18:45:00,17,124,0,"Green v Red","spectral",NA
1,8,15,10,25,178,-1,4,1.01313379376811,2017-06-13 18:45:00,2017-06-13 18:57:00,12,141,0,"Green v Red","spectral",NA
1,9,15,10,25,203,1,5,1.01313379376811,2017-06-13 18:57:00,2017-06-13 19:09:00,12,153,0,"Green v Red","spectral",NA
1,10,16,9,25,228,-1,5,1.01313379376811,2017-06-13 19:09:00,2017-06-13 19:27:00,18,165,0,"Green v Red","spectral",NA
1,11,18,7,25,253,1,6,1.01313379376811,2017-06-13 19:27:00,2017-06-13 19:45:00,18,183,0,"Green v Red","spectral",NA
1,12,12,14,26,278,-1,6,1.01313379376811,2017-06-13 19:45:00,2017-06-13 19:55:00,10,201,0,"Green v Red","spectral",NA
2,1,16,9,25,0,1,1,1.01464961398257,2017-06-14 08:36:00,2017-06-14 08:53:00,17,0,0,"Red v Green","spectral",NA
2,2,10,15,25,25,-1,1,1.01464961398257,2017-06-14 08:54:00,2017-06-14 09:16:00,22,17,0,"Red v Green","spectral",NA
2,3,18,7,25,50,1,2,1.01464961398257,2017-06-14 09:17:00,2017-06-14 09:39:00,22,39,0,"Red v Green","spectral",NA
2,4,14,11,25,75,-1,2,1.01464961398257,2017-06-14 09:41:00,2017-06-14 09:59:00,18,61,0,"Red v Green","spectral",NA
2,5,16,9,25,100,1,3,1.01464961398257,2017-06-14 10:00:00,2017-06-14 10:24:00,24,79,0,"Red v Green","spectral",NA
2,6,15,10,25,125,-1,3,1.01464961398257,2017-06-14 10:25:00,2017-06-14 10:39:00,14,103,0,"Red v Green","spectral",NA
2,7,19,6,25,150,1,4,1.01464961398257,2017-06-14 10:40:00,2017-06-14 11:02:00,22,117,0,"Red v Green","spectral",NA
2,8,15,10,25,175,-1,4,1.01464961398257,2017-06-14 11:07:00,2017-06-14 11:27:00,20,139,0,"Red v Green","spectral",NA
2,9,17,8,25,200,1,5,1.01464961398257,2017-06-14 11:28:00,2017-06-14 11:47:00,19,159,0,"Red v Green","spectral",NA
2,10,13,12,25,225,-1,5,1.01464961398257,2017-06-14 11:52:00,2017-06-14 12:11:00,19,178,0,"Red v Green","spectral",NA
2,11,18,7,25,250,1,6,1.01464961398257,2017-06-14 13:55:00,2017-06-14 14:18:00,23,197,0,"Red v Green","spectral",NA
2,12,15,10,25,275,-1,6,1.01464961398257,2017-06-14 14:19:00,2017-06-14 14:40:00,21,220,0,"Red v Green","spectral",NA
3,1,14,11,25,0,1,1,0.00707022492675299,2017-06-13 10:17:00,2017-06-13 10:26:00,9,0,0,"Null: Green v Green 1","null",1
3,2,12,13,25,25,-1,1,0.00707022492675299,2017-06-13 10:26:00,2017-06-13 10:36:00,10,9,0,"Null: Green v Green 1","null",1
3,3,15,10,25,50,1,2,0.00707022492675299,2017-06-13 10:36:00,2017-06-13 10:46:00,10,19,0,"Null: Green v Green 1","null",1
3,4,10,15,25,75,-1,2,0.00707022492675299,2017-06-13 10:46:00,2017-06-13 11:00:00,14,29,0,"Null: Green v Green 1","null",1
3,5,12,13,25,100,1,3,0.00707022492675299,2017-06-13 11:00:00,2017-06-13 11:12:00,12,43,0,"Null: Green v Green 1","null",1
3,6,8,17,25,125,-1,3,0.00707022492675299,2017-06-13 11:12:00,2017-06-13 11:34:00,22,55,0,"Null: Green v Green 1","null",1
